feature,correlation,abs_correlation
Benchmark (MMLU),0.9358814801632999,0.9358814801632999
Benchmark (Chatbot Arena),0.13202977629530113,0.13202977629530113
Speed (tokens/sec),-0.11506219637321102,0.11506219637321102
Speed Rating,-0.10516840427821932,0.10516840427821932
Compute Power,0.1013010352005297,0.1013010352005297
Training Dataset Size,0.09106020503291205,0.09106020503291205
Price Rating,0.08659076012396844,0.08659076012396844
Open-Source,0.060012003601200334,0.060012003601200334
Energy Efficiency,-0.04287289440078838,0.04287289440078838
Latency (sec),-0.016190733932504024,0.016190733932504024
Context Window,0.014795831959078827,0.014795831959078827
Price / Million Tokens,-0.010350148353475558,0.010350148353475558
